index_sort,page,block,line,x0,y0,x2,y2,Text,space_type,confidence
0,0,0,0,456,13,493,27,FORM,1,0.9700000137090683
2,0,0,0,503,13,526,27,NO.,1,0.9599999984105428
3,0,0,0,532,13,554,27,12B,5,0.9333333373069763
4,0,0,1,503,10,526,30,.,5,0.9900000095367432
6,0,0,2,463,35,486,52,[See,1,0.9775000065565109
7,0,0,2,491,35,512,52,rule,1,0.9825000017881393
9,0,0,2,517,35,545,52,26A],3,0.9625000059604645
10,0,0,3,208,51,240,73,Form,1,0.9925000071525574
11,0,0,3,245,51,262,73,for,1,0.996666669845581
12,0,0,3,267,51,330,73,furnishing,1,0.9900000095367432
13,0,0,3,336,51,374,73,details,1,0.9942857197352818
14,0,0,3,379,51,391,73,of,1,0.9900000095367432
15,0,0,3,395,51,437,73,income,1,0.9916666646798452
16,0,0,3,445,51,477,73,under,1,0.9940000057220459
17,0,0,3,483,51,523,73,section,1,0.9928571496691022
21,0,0,3,530,51,566,73,192(2),1,0.8683333396911621
22,0,0,3,571,51,588,73,for,1,0.9466666579246521
23,0,0,3,593,51,611,73,the,1,0.9933333396911621
24,0,0,3,616,51,642,73,year,1,0.9950000047683716
25,0,0,3,647,51,687,73,ending,1,0.9816666742165884
26,0,0,3,693,51,704,73,31,1,0.8350000083446503
28,0,0,3,709,51,753,73,"March,",1,0.971666673819224
29,0,0,3,759,51,795,73,2017,3,0.9950000047683716
30,0,0,4,42,77,75,95,Name,1,0.9900000095367432
31,0,0,4,80,77,100,95,and,1,0.9933333396911621
32,0,0,4,105,77,146,95,address,1,0.997142859867641
33,0,0,4,151,77,163,95,of,1,0.9900000095367432
34,0,0,4,166,78,183,96,the,1,0.996666669845581
35,0,0,4,187,78,241,96,employee,1,0.9950000047683716
36,0,0,4,257,78,333,98,Santhapuri,1,0.9930000066757202
37,0,0,4,337,79,371,97,Sunil,1,0.9880000114440918
38,0,0,4,377,79,423,98,Kumar,3,0.9960000038146972
39,0,0,5,43,95,103,115,Permanent,1,0.9944444497426351
40,0,0,5,108,97,154,116,Account,1,0.9957142898014614
41,0,0,5,159,98,178,117,No.,1,0.8700000047683716
42,0,0,5,185,98,218,118,PAN,1,0.953333338101705
43,0,0,5,223,99,276,119,number,1,0.9850000043710073
44,0,0,5,282,101,294,119,of,1,1.0
45,0,0,5,299,101,364,121,employee,3,0.9987500011920929
46,0,0,6,43,116,106,138,Residential,1,0.9972727298736572
47,0,0,6,111,118,142,140,status,1,0.9933333396911621
48,0,0,6,165,119,209,141,Indian,5,0.9933333396911621
49,0,1,0,461,156,502,167,Particulars,1,0.9372727329080756
50,0,1,0,505,156,511,167,of,1,0.9650000035762787
51,0,1,0,514,156,535,167,salary,1,0.9083333412806193
52,0,1,0,539,156,546,167,as,1,0.9800000190734863
53,0,1,0,550,156,574,167,defined,1,0.7242857239076069
54,0,1,0,580,156,584,167,in,1,0.9900000095367432
55,0,1,0,588,156,612,167,section,1,0.984285729272025
56,0,1,0,616,156,645,167,17.paid,3,0.7971428632736206
57,0,1,1,464,166,472,179,or,1,0.699999988079071
58,0,1,1,475,166,486,179,due,1,0.7633333305517832
59,0,1,1,490,166,496,179,to,1,0.925000011920929
60,0,1,1,500,166,507,179,be,1,0.9800000190734863
61,0,1,1,511,166,524,179,paid,1,0.9925000071525574
62,0,1,1,529,166,534,179,to,1,0.9850000143051147
63,0,1,1,537,166,547,179,the,1,0.9833333492279053
64,0,1,1,551,166,584,179,employee,1,0.8937500081956387
65,0,1,1,587,166,611,179,during,1,0.8716666797796885
66,0,1,1,614,166,623,179,the,1,0.9866666793823242
67,0,1,1,625,166,642,179,year,5,0.7474999949336052
68,0,2,0,220,192,237,205,TAN,1,0.9466666777928671
69,0,2,0,238,194,247,205,of,1,0.9350000023841858
70,0,2,0,248,194,259,207,the,5,0.9866666793823242
71,0,3,0,77,193,98,203,Serial,3,0.9916666746139526
72,0,3,1,74,205,103,214,Number,5,0.8833333452542623
73,0,4,0,529,192,548,205,Total,1,0.8900000095367432
74,0,4,0,550,193,578,206,amount,5,0.46166667342185974
75,0,5,0,627,194,646,205,Value,1,0.9700000166893006
76,0,5,0,649,194,657,205,of,5,0.9800000190734863
77,0,6,0,876,195,914,201,1,5,0.4099999964237213
78,0,7,0,879,194,910,202,Remarks,5,0.9542857153075082
79,0,8,0,133,193,153,203,Name,1,0.9950000047683716
80,0,8,0,157,193,170,203,and,3,0.9799999992052714
81,0,8,1,134,205,161,215,address,1,0.9957142898014614
82,0,8,1,165,205,172,215,or,3,0.7400000095367432
84,0,8,2,129,215,173,227,Employers),5,0.9289999961853027
85,0,9,0,216,204,262,218,employees,3,0.9566666682561239
86,0,9,1,220,216,227,225,as,1,0.9900000095367432
87,0,9,1,230,214,257,225,ailored,3,0.7142857015132904
88,0,9,2,228,226,236,235,by,1,0.9900000095367432
89,0,9,2,239,226,249,235,the,3,0.9900000095367432
90,0,9,3,232,237,246,245,ITO,5,0.6633333166440328
91,0,10,0,618,203,660,218,perquisites,5,0.8363636325706135
92,0,11,0,300,193,339,202,Permanent,5,0.9222222235467699
93,0,11,1,306,206,336,216,Account,3,0.8671428731509617
94,0,11,2,302,216,330,226,Number,1,0.9750000139077505
95,0,11,2,334,216,341,226,of,5,0.7300000041723251
96,0,11,3,315,225,325,236,the,3,0.9833333492279053
97,0,11,4,299,236,341,249,employers,5,0.8744444482856326
98,0,12,0,378,192,403,204,Period,1,0.9333333472410837
99,0,12,0,406,193,413,204,of,3,0.949999988079071
100,0,12,1,375,206,418,216,employment,5,0.8520000040531158
101,0,12,2,387,218,404,225,mer,5,0.7933333317438761
102,0,13,0,695,192,714,204,Total,1,0.978000009059906
103,0,13,0,717,192,724,204,of,3,0.9600000083446503
104,0,13,1,694,204,723,214,columns,5,0.8342857275690351
105,0,13,2,703,215,716,224,"6,7",3,0.9700000087420145
106,0,13,3,699,226,712,235,and,1,0.9766666690508524
107,0,13,3,715,226,719,235,8,5,0.7900000214576721
108,0,14,0,753,194,781,203,Amount,3,0.4050000036756198
109,0,14,1,752,203,784,214,deducted,3,0.9950000047683716
110,0,14,2,750,218,756,227,in,1,0.9650000035762787
111,0,14,2,760,218,785,227,respect,5,0.9100000091961452
112,0,15,0,449,194,466,203,Total,1,0.9960000038146972
113,0,15,0,469,194,496,203,amount,5,0.9366666674613953
114,0,15,1,457,206,464,217,of,1,0.9800000190734863
115,0,15,1,466,206,487,217,salary,3,0.9833333392937978
116,0,15,2,454,216,488,226,excluding,5,0.9733333388964335
117,0,15,3,457,228,486,237,amowits,3,0.7471428641251155
118,0,15,4,452,237,483,247,required,1,0.7887500114738941
119,0,15,4,486,237,491,247,to,3,0.9850000143051147
120,0,15,5,451,249,458,258,be,1,0.9900000095367432
121,0,15,5,462,249,483,258,shown,1,0.9880000114440918
122,0,15,5,487,249,493,258,in,3,0.9099999964237213
123,0,15,6,453,258,482,269,columns,1,0.7942857252699989
124,0,15,6,487,259,489,268,7,1,0.7900000214576721
125,0,15,6,488,257,490,269,7,5,0.7099999785423279
126,0,15,7,461,270,474,279,and,1,0.9933333396911621
127,0,15,7,477,270,481,279,8,5,0.5600000023841858
128,0,16,0,809,195,826,204,Total,1,0.9940000057220459
129,0,16,0,830,195,856,204,amount,3,0.7266666690508524
130,0,16,1,806,205,811,215,of,1,0.9699999988079071
131,0,16,1,813,205,825,215,te,1,0.29499999061226845
132,0,16,1,828,203,858,215,deducted,5,0.8612500131130219
133,0,16,2,812,215,836,226,during,1,0.9883333444595337
134,0,16,2,839,215,849,225,the,3,0.996666669845581
135,0,16,3,806,226,823,237,year,1,0.7650000154972076
137,0,16,3,826,225,855,236,(enclose,5,0.6887499988079071
138,0,16,4,815,237,850,248,certificate,3,0.8790909160267223
139,0,16,5,808,248,831,260,issued,1,0.97666667898496
140,0,16,5,833,247,853,259,under,3,0.9820000052452087
141,0,16,6,806,259,837,272,Section,1,0.8500000068119594
142,0,16,6,839,258,854,270,203,5,0.949999988079071
143,0,17,0,538,205,545,214,of,1,0.9900000095367432
144,0,17,0,547,205,567,214,house,3,0.9420000195503235
145,0,17,1,532,217,547,225,rent,1,0.6825000047683716
146,0,17,1,550,217,572,225,allow,4,0.5899999886751175
148,0,17,2,529,228,547,236,"ance,",1,0.9880000114440918
149,0,17,2,551,228,577,236,comme,3,0.8620000123977661
150,0,17,3,525,237,541,247,ance,1,0.9900000095367432
151,0,17,3,545,237,581,247,allowance,3,0.9744444489479065
152,0,17,4,522,248,535,258,and,1,0.9900000095367432
153,0,17,4,538,248,556,258,other,1,0.9980000019073486
154,0,17,4,560,248,581,258,allow,5,0.9860000133514404
155,0,17,5,539,261,558,269,rices,1,0.7340000033378601
156,0,17,5,562,261,567,269,to,3,0.875
157,0,17,6,537,270,546,281,the,1,0.9900000095367432
158,0,17,6,550,270,571,281,extent,3,0.9916666746139526
159,0,17,7,534,280,573,292,chargeable,5,0.9760000050067902
160,0,17,8,542,292,548,300,to,1,0.9449999928474426
161,0,17,8,552,292,562,300,te,3,0.2549999989569187
162,0,17,9,536,300,551,310,See,1,0.9733333587646484
163,0,17,9,556,300,565,310,sec,5,0.9433333476384481
164,0,17,10,538,303,540,313,[,3,0.3400000035762787
165,0,17,11,530,313,543,322,tion,1,0.9925000071525574
169,0,17,11,546,313,574,322,10(134),3,0.8471428453922272
170,0,17,12,535,323,552,335,read,1,0.9525000154972076
171,0,17,12,554,322,569,334,with,5,0.9675000011920929
172,0,17,13,539,335,553,344,nule,1,0.6749999970197678
173,0,17,13,556,335,565,344,24,3,0.5899999886751175
174,0,17,14,533,347,546,355,and,1,0.9933333396911621
175,0,17,14,549,347,573,355,section,3,0.980000010558537
176,0,17,15,539,356,567,367,1014,5,0.7350000068545341
177,0,17,16,551,369,554,377,7,5,0.9700000286102295
178,0,18,0,619,217,632,225,and,1,0.9933333396911621
179,0,18,0,635,217,662,225,amount,3,0.5949999913573265
180,0,18,1,625,226,632,237,of,1,0.9599999785423279
181,0,18,1,634,226,656,237,accre,4,0.9440000176429748
182,0,18,2,628,238,641,245,rion,1,0.5024999994784594
183,0,18,2,644,238,650,245,10,3,0.39000000804662704
184,0,18,3,619,247,662,260,employee's,3,0.9290000081062317
185,0,18,4,621,259,656,269,provident,5,0.9788888957765367
186,0,18,5,630,269,647,279,And,3,0.4466666678587596
187,0,18,6,626,283,654,291,account,3,0.7328571538840022
189,0,18,7,618,291,634,302,(ghe,1,0.5450000055134296
190,0,18,7,638,290,661,302,details,5,0.8242857115609306
191,0,18,8,630,302,635,311,in,1,0.9800000190734863
192,0,18,8,639,302,649,311,the,3,0.9900000095367432
193,0,18,9,628,312,650,321,Anne,4,0.9625000059604645
195,0,18,10,631,326,649,333,X),5,0.6050000041723251
196,0,19,0,751,238,785,247,insurance,3,0.7866666747464074
197,0,19,1,749,249,783,258,premium,3,0.6771428638270923
198,0,19,2,749,259,784,269,provident,5,0.921111113495297
199,0,19,3,758,270,775,280,fund,3,0.8575000166893005
200,0,19,4,755,281,779,290,contri,4,0.6583333363135656
202,0,19,5,748,292,772,301,"bution,",1,0.9871428608894348
203,0,19,5,776,292,787,301,etc.,3,0.7074999958276749
204,0,19,6,752,302,758,311,to,1,0.7349999845027924
205,0,19,6,761,301,782,312,which,3,0.9240000009536743
206,0,19,7,754,313,779,321,section,5,0.9328571472849164
207,0,19,8,759,324,775,332,800,3,0.7833333412806193
208,0,19,9,754,335,779,344,applies,5,0.919999999659402
210,0,19,10,758,345,777,354,(Ghe,3,0.6100000068545341
212,0,19,11,753,357,784,366,data),5,0.44400000274181367
213,0,19,12,764,370,772,377,10,5,0.9900000095367432
214,0,20,0,154,325,213,343,Previous,1,0.9537500068545341
215,0,20,0,222,325,285,344,Employer,1,0.9825000092387199
217,0,20,0,290,326,340,343,Details.,5,0.9862500056624413
