index_sort,page,block,line,x0,y0,x2,y2,Text,space_type,confidence
0,0,0,0,72,38,200,68,Skillswise,5,0.9920000076293946
1,0,1,0,74,112,138,138,How,1,0.9933333396911621
2,0,1,0,150,112,178,138,to,1,1.0
3,0,1,0,189,112,225,138,fill,1,0.9925000071525574
4,0,1,0,239,112,262,138,in,1,0.9950000047683716
5,0,1,0,275,112,291,138,a,1,0.9800000190734863
6,0,1,0,302,112,369,138,form,5,0.9925000071525574
7,0,2,0,87,182,119,200,TITLE,5,0.9940000057220459
8,0,3,0,195,182,218,200,MR,1,0.9099999964237213
9,0,3,0,224,182,228,200,/,1,0.8299999833106995
10,0,3,0,229,182,260,200,MRS,1,0.8566666642824808
11,0,3,0,273,182,308,200,MISS,1,0.9700000137090683
12,0,3,0,319,182,338,200,MS,5,0.7100000083446503
13,0,4,0,88,231,121,247,FIRST,1,0.9920000076293946
14,0,4,0,126,231,161,247,NAME,5,0.9950000047683716
15,0,5,0,198,227,266,249,Lucinda,5,0.9914285796029227
16,0,6,0,87,285,145,301,SURNAME,5,0.9942857197352818
17,0,7,0,199,281,239,302,Lane,5,0.9925000071525574
18,0,8,0,81,328,144,348,ADDRESS,5,0.997142859867641
19,0,9,0,192,331,204,352,4,1,0.8999999761581421
20,0,9,0,217,330,248,351,The,1,0.9766666889190674
22,0,9,0,259,329,304,351,"Page,",1,0.9740000128746032
23,0,9,0,314,328,376,351,Salford,5,0.9914285796029227
24,0,10,0,88,377,152,394,POSTCODE,5,0.9962500035762787
25,0,11,0,192,375,245,397,SF10,1,0.9825000017881393
26,0,11,0,256,376,292,397,9PQ,5,0.850000003973643
27,0,12,0,86,423,119,442,DATE,1,0.9925000071525574
28,0,12,0,122,423,139,442,OF,1,0.9950000047683716
29,0,12,0,143,423,177,442,BIRTH,1,0.9960000038146972
30,0,12,0,199,423,282,444,30/7/84,5,0.9885714394705636
31,0,13,0,87,464,158,480,TELEPHONE,3,0.996666669845581
34,0,13,1,80,478,124,496,(DAY),5,0.928000009059906
35,0,14,0,192,471,262,489,07997,1,0.9660000085830689
36,0,14,0,273,471,308,489,837,1,0.9066666563351949
37,0,14,0,319,471,368,489,8304,5,0.935000017285347
38,0,15,0,87,511,158,525,TELEPHONE,3,0.995555559794108
41,0,15,1,81,526,152,542,(EVENING),5,0.9900000029140048
42,0,16,0,192,518,248,535,0161,1,0.9775000065565109
43,0,16,0,258,518,295,535,496,1,0.9733333190282186
44,0,16,0,304,518,355,535,0000,5,0.6800000071525574
45,0,17,0,88,559,122,585,EMAIL,1,0.9920000076293946
46,0,17,0,128,559,187,586,ADDRESS,1,0.9900000010217939
47,0,17,0,191,559,423,588,lucylane@gigglemail.co.uk,5,0.9804000043869019
48,0,18,0,87,610,131,625,SIGNED,5,0.9916666746139526
49,0,19,0,199,608,257,624,LLane,5,0.9519999861717224
50,0,20,0,86,652,116,669,DATE,5,0.9900000095367432
51,0,21,0,198,653,283,671,14/8/15,5,0.9900000095367432
52,0,22,0,71,787,95,799,Entry,1,0.9940000057220459
53,0,22,0,100,787,103,799,1,1,0.9900000095367432
54,0,22,0,109,787,114,799,&,1,0.9900000095367432
55,0,22,0,119,787,123,799,2,1,1.0
56,0,22,0,128,787,175,799,Factsheet,5,0.9900000029140048
57,0,23,0,249,787,342,797,bbc.co.uk/skillswise,5,0.9800000041723251
58,0,24,0,434,785,451,800,BBC,1,0.9333333373069763
59,0,24,0,455,785,473,800,2012,1,0.9600000083446503
60,0,24,0,484,785,532,800,BBC,5,0.9900000095367432
